experiment_name,agg_strategy,dataset,partition,alpha,num_clients,rounds,local_epochs,final_accuracy,final_loss
Digits_NonIID_alpha0.3_FEDAVG,fedavg,digits,dirichlet,0.3,10,50,5,0.975,0.08316626420451535
Digits_NonIID_alpha0.3_FEDPROX,fedprox,digits,dirichlet,0.3,10,50,5,0.9777777777777777,0.09541341372662121
Digits_NonIID_alpha0.3_FEDDIVE,feddive,digits,dirichlet,0.3,10,50,5,0.9611111111111111,0.4030685293591685
