experiment_name,agg_strategy,dataset,partition,alpha,num_clients,rounds,local_epochs,final_accuracy,final_loss
Digits_IID_FEDAVG,fedavg,digits,iid,,10,30,5,0.9694444444444444,0.07973331660032272
Digits_IID_FEDDIVE,feddive,digits,iid,,10,30,5,0.9666666666666667,0.09102382337053617
