experiment_name,round_history,final_accuracy,final_loss,config_name,config_model_type,config_model_hidden_dim,config_data_config_name,config_data_config_pca_features,config_data_config_scaling,config_data_config_subset_size,config_data_partition_iid,config_aggregation_overrides_strategy,config_client_overrides_client_local_epochs,config_client_overrides_optimization_learning_rate,config_client_overrides_optimization_optimizer_name,config_client_overrides_optimization_loss_function,config_server_overrides_server_num_rounds,config_server_overrides_client_management_num_clients,config_data_partition_alpha,config_client_overrides_regularization_proximal_mu,config_aggregation_overrides_type,config_aggregation_overrides_momentum,config_aggregation_overrides_temperature,config_aggregation_overrides_normalize_distances,config_model_n_qubits,config_model_n_layers,config_model_circuit_type,config_model_device,config_model_classical_hidden_dim,config_model_q_layers,config_model_q_circuit_type,config_model_q_device_name,config_model_output_dim
BC_MLP_FedAvg_IID_FullFeat,"[{'round': 1, 'status': 'success', 'participating_clients': ['classical_mlp_client_0', 'classical_mlp_client_4', 'classical_mlp_client_2'], 'client_samples': [273, 273, 273], 'total_samples': 819, 'duration_seconds': 0.3007473945617676, 'evaluation_metrics': {'loss': 0.5987380743026733, 'accuracy': 0.8596491228070176}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 2, 'status': 'success', 'participating_clients': ['classical_mlp_client_2', 'classical_mlp_client_1', 'classical_mlp_client_0'], 'client_samples': [273, 273, 273], 'total_samples': 819, 'duration_seconds': 0.08406329154968262, 'evaluation_metrics': {'loss': 0.4760989546775818, 'accuracy': 0.9385964912280702}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 3, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_0', 'classical_mlp_client_2'], 'client_samples': [273, 273, 273], 'total_samples': 819, 'duration_seconds': 0.08900141716003418, 'evaluation_metrics': {'loss': 0.34171128273010254, 'accuracy': 0.956140350877193}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 4, 'status': 'success', 'participating_clients': ['classical_mlp_client_4', 'classical_mlp_client_0', 'classical_mlp_client_2'], 'client_samples': [273, 273, 273], 'total_samples': 819, 'duration_seconds': 0.08221864700317383, 'evaluation_metrics': {'loss': 0.23601482808589935, 'accuracy': 0.956140350877193}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 5, 'status': 'success', 'participating_clients': ['classical_mlp_client_3', 'classical_mlp_client_0', 'classical_mlp_client_4'], 'client_samples': [273, 273, 273], 'total_samples': 819, 'duration_seconds': 0.08057165145874023, 'evaluation_metrics': {'loss': 0.17213810980319977, 'accuracy': 0.9649122807017544}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}]",0.9649122807017544,0.17213810980319977,BC_MLP_FedAvg_IID_FullFeat,classical_mlp,64.0,breast_cancer,,standard,,True,FedAvg,3,0.001,Adam,CrossEntropyLoss,5,5,,,,,,,,,,,,,,,
BC_MLP_FedAvg_NonIID_a0.3_FullFeat,"[{'round': 1, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_4', 'classical_mlp_client_3'], 'client_samples': [1071, 234, 21], 'total_samples': 1326, 'duration_seconds': 0.1469407081604004, 'evaluation_metrics': {'loss': 0.3359237015247345, 'accuracy': 0.9385964912280702}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 2, 'status': 'success', 'participating_clients': ['classical_mlp_client_2', 'classical_mlp_client_4', 'classical_mlp_client_0'], 'client_samples': [6, 234, 33], 'total_samples': 273, 'duration_seconds': 0.05039691925048828, 'evaluation_metrics': {'loss': 0.2865592837333679, 'accuracy': 0.9210526315789473}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 3, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_0', 'classical_mlp_client_2'], 'client_samples': [1071, 33, 6], 'total_samples': 1110, 'duration_seconds': 0.12749457359313965, 'evaluation_metrics': {'loss': 0.11201547086238861, 'accuracy': 0.956140350877193}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 4, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_3', 'classical_mlp_client_4'], 'client_samples': [1071, 21, 234], 'total_samples': 1326, 'duration_seconds': 0.13102388381958008, 'evaluation_metrics': {'loss': 0.09110914915800095, 'accuracy': 0.9649122807017544}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 5, 'status': 'success', 'participating_clients': ['classical_mlp_client_2', 'classical_mlp_client_0', 'classical_mlp_client_1'], 'client_samples': [6, 33, 1071], 'total_samples': 1110, 'duration_seconds': 0.10165166854858398, 'evaluation_metrics': {'loss': 0.08188345283269882, 'accuracy': 0.956140350877193}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}]",0.956140350877193,0.08188345283269882,BC_MLP_FedAvg_NonIID_a0.3_FullFeat,classical_mlp,64.0,breast_cancer,,standard,,False,FedAvg,3,0.001,Adam,CrossEntropyLoss,5,5,0.3,,,,,,,,,,,,,,
BC_MLP_FedProx_NonIID_a0.3_FullFeat,"[{'round': 1, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_4', 'classical_mlp_client_3'], 'client_samples': [1071, 234, 21], 'total_samples': 1326, 'duration_seconds': 0.26514291763305664, 'evaluation_metrics': {'loss': 0.3380158543586731, 'accuracy': 0.9385964912280702}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 2, 'status': 'success', 'participating_clients': ['classical_mlp_client_2', 'classical_mlp_client_4', 'classical_mlp_client_0'], 'client_samples': [6, 234, 33], 'total_samples': 273, 'duration_seconds': 0.07137346267700195, 'evaluation_metrics': {'loss': 0.28787994384765625, 'accuracy': 0.9210526315789473}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 3, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_0', 'classical_mlp_client_2'], 'client_samples': [1071, 33, 6], 'total_samples': 1110, 'duration_seconds': 0.17288661003112793, 'evaluation_metrics': {'loss': 0.11337793618440628, 'accuracy': 0.956140350877193}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 4, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_3', 'classical_mlp_client_4'], 'client_samples': [1071, 21, 234], 'total_samples': 1326, 'duration_seconds': 0.19835495948791504, 'evaluation_metrics': {'loss': 0.0924500972032547, 'accuracy': 0.9649122807017544}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 5, 'status': 'success', 'participating_clients': ['classical_mlp_client_2', 'classical_mlp_client_0', 'classical_mlp_client_1'], 'client_samples': [6, 33, 1071], 'total_samples': 1110, 'duration_seconds': 0.1568138599395752, 'evaluation_metrics': {'loss': 0.08309243619441986, 'accuracy': 0.956140350877193}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}]",0.956140350877193,0.08309243619441986,BC_MLP_FedProx_NonIID_a0.3_FullFeat,classical_mlp,64.0,breast_cancer,,standard,,False,FedProx,3,0.001,Adam,CrossEntropyLoss,5,5,0.3,0.01,,,,,,,,,,,,,
BC_MLP_FedDive_IID_FullFeat,"[{'round': 1, 'status': 'success', 'participating_clients': ['classical_mlp_client_0', 'classical_mlp_client_4', 'classical_mlp_client_2'], 'client_samples': [273, 273, 273], 'total_samples': 819, 'duration_seconds': 0.08887553215026855, 'evaluation_metrics': {'loss': 0.5971572995185852, 'accuracy': 0.8596491228070176}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 2, 'status': 'success', 'participating_clients': ['classical_mlp_client_2', 'classical_mlp_client_1', 'classical_mlp_client_0'], 'client_samples': [273, 273, 273], 'total_samples': 819, 'duration_seconds': 0.09159207344055176, 'evaluation_metrics': {'loss': 0.47280073165893555, 'accuracy': 0.9385964912280702}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 3, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_0', 'classical_mlp_client_2'], 'client_samples': [273, 273, 273], 'total_samples': 819, 'duration_seconds': 0.08134007453918457, 'evaluation_metrics': {'loss': 0.3371048867702484, 'accuracy': 0.9473684210526315}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 4, 'status': 'success', 'participating_clients': ['classical_mlp_client_4', 'classical_mlp_client_0', 'classical_mlp_client_2'], 'client_samples': [273, 273, 273], 'total_samples': 819, 'duration_seconds': 0.06915140151977539, 'evaluation_metrics': {'loss': 0.22923533618450165, 'accuracy': 0.956140350877193}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 5, 'status': 'success', 'participating_clients': ['classical_mlp_client_3', 'classical_mlp_client_0', 'classical_mlp_client_4'], 'client_samples': [273, 273, 273], 'total_samples': 819, 'duration_seconds': 0.07679247856140137, 'evaluation_metrics': {'loss': 0.16557800769805908, 'accuracy': 0.956140350877193}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}]",0.956140350877193,0.16557800769805908,BC_MLP_FedDive_IID_FullFeat,classical_mlp,64.0,breast_cancer,,standard,,True,,3,0.001,Adam,CrossEntropyLoss,5,5,,,feddive,0.9,1.0,True,,,,,,,,,
BC_MLP_FedDive_NonIID_a0.3_FullFeat,"[{'round': 1, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_4', 'classical_mlp_client_3'], 'client_samples': [1071, 234, 21], 'total_samples': 1326, 'duration_seconds': 0.11584782600402832, 'evaluation_metrics': {'loss': 0.33950769901275635, 'accuracy': 0.9385964912280702}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 2, 'status': 'success', 'participating_clients': ['classical_mlp_client_2', 'classical_mlp_client_4', 'classical_mlp_client_0'], 'client_samples': [6, 234, 33], 'total_samples': 273, 'duration_seconds': 0.05139732360839844, 'evaluation_metrics': {'loss': 0.29483333230018616, 'accuracy': 0.9210526315789473}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 3, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_0', 'classical_mlp_client_2'], 'client_samples': [1071, 33, 6], 'total_samples': 1110, 'duration_seconds': 0.10142159461975098, 'evaluation_metrics': {'loss': 0.12787452340126038, 'accuracy': 0.956140350877193}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 4, 'status': 'success', 'participating_clients': ['classical_mlp_client_1', 'classical_mlp_client_3', 'classical_mlp_client_4'], 'client_samples': [1071, 21, 234], 'total_samples': 1326, 'duration_seconds': 0.12271785736083984, 'evaluation_metrics': {'loss': 0.09547439217567444, 'accuracy': 0.9649122807017544}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}, {'round': 5, 'status': 'success', 'participating_clients': ['classical_mlp_client_2', 'classical_mlp_client_0', 'classical_mlp_client_1'], 'client_samples': [6, 33, 1071], 'total_samples': 1110, 'duration_seconds': 0.12067031860351562, 'evaluation_metrics': {'loss': 0.08516411483287811, 'accuracy': 0.956140350877193}, 'comm_download_bytes_per_client': np.int64(16520), 'comm_total_upload_bytes': np.int64(49560), 'comm_avg_upload_bytes_per_client': np.float64(16520.0)}]",0.956140350877193,0.08516411483287811,BC_MLP_FedDive_NonIID_a0.3_FullFeat,classical_mlp,64.0,breast_cancer,,standard,,False,,3,0.001,Adam,CrossEntropyLoss,5,5,0.3,,feddive,0.9,1.0,True,,,,,,,,,
BC_VQC_FedAvg_IID_PCA4_L2_Basic,"[{'round': 1, 'status': 'success', 'participating_clients': ['vqc_client_2', 'vqc_client_0', 'vqc_client_1'], 'client_samples': [459, 453, 453], 'total_samples': 1365, 'duration_seconds': 71.09491920471191, 'evaluation_metrics': {'loss': 0.694803472150836, 'accuracy': 0.6228070175438597}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 2, 'status': 'success', 'participating_clients': ['vqc_client_2', 'vqc_client_1', 'vqc_client_0'], 'client_samples': [459, 453, 453], 'total_samples': 1365, 'duration_seconds': 71.94653868675232, 'evaluation_metrics': {'loss': 0.6755678381836205, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 3, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_2', 'vqc_client_1'], 'client_samples': [453, 459, 453], 'total_samples': 1365, 'duration_seconds': 76.06295204162598, 'evaluation_metrics': {'loss': 0.6626864420740228, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 4, 'status': 'success', 'participating_clients': ['vqc_client_2', 'vqc_client_0', 'vqc_client_1'], 'client_samples': [459, 453, 453], 'total_samples': 1365, 'duration_seconds': 74.43690729141235, 'evaluation_metrics': {'loss': 0.6469689137057254, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 5, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_2', 'vqc_client_1'], 'client_samples': [453, 459, 453], 'total_samples': 1365, 'duration_seconds': 84.19647312164307, 'evaluation_metrics': {'loss': 0.6257358444364447, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}]",0.631578947368421,0.6257358444364447,BC_VQC_FedAvg_IID_PCA4_L2_Basic,vqc,,breast_cancer,4.0,minmax,,True,FedAvg,3,0.005,Adam,CrossEntropyLoss,5,3,,,,,,,4.0,2.0,basic,lightning.qubit,,,,,
BC_VQC_FedAvg_NonIID_a0.5_PCA4_L2_Complex,"[{'round': 1, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_2', 'vqc_client_1'], 'client_samples': [96, 15, 1254], 'total_samples': 1365, 'duration_seconds': 168.61462426185608, 'evaluation_metrics': {'loss': 0.6011271393089964, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(248), 'comm_total_upload_bytes': np.int64(744), 'comm_avg_upload_bytes_per_client': np.float64(248.0)}, {'round': 2, 'status': 'success', 'participating_clients': ['vqc_client_1', 'vqc_client_2', 'vqc_client_0'], 'client_samples': [1254, 15, 96], 'total_samples': 1365, 'duration_seconds': 172.4539680480957, 'evaluation_metrics': {'loss': 0.482101369322392, 'accuracy': 0.8421052631578947}, 'comm_download_bytes_per_client': np.int64(248), 'comm_total_upload_bytes': np.int64(744), 'comm_avg_upload_bytes_per_client': np.float64(248.0)}, {'round': 3, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_2', 'vqc_client_1'], 'client_samples': [96, 15, 1254], 'total_samples': 1365, 'duration_seconds': 179.63555431365967, 'evaluation_metrics': {'loss': 0.39754160454398707, 'accuracy': 0.8859649122807017}, 'comm_download_bytes_per_client': np.int64(248), 'comm_total_upload_bytes': np.int64(744), 'comm_avg_upload_bytes_per_client': np.float64(248.0)}, {'round': 4, 'status': 'success', 'participating_clients': ['vqc_client_1', 'vqc_client_2', 'vqc_client_0'], 'client_samples': [1254, 15, 96], 'total_samples': 1365, 'duration_seconds': 173.86055421829224, 'evaluation_metrics': {'loss': 0.33897890333543745, 'accuracy': 0.8859649122807017}, 'comm_download_bytes_per_client': np.int64(248), 'comm_total_upload_bytes': np.int64(744), 'comm_avg_upload_bytes_per_client': np.float64(248.0)}, {'round': 5, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_1', 'vqc_client_2'], 'client_samples': [96, 1254, 15], 'total_samples': 1365, 'duration_seconds': 168.63809251785278, 'evaluation_metrics': {'loss': 0.30547774099467095, 'accuracy': 0.9035087719298246}, 'comm_download_bytes_per_client': np.int64(248), 'comm_total_upload_bytes': np.int64(744), 'comm_avg_upload_bytes_per_client': np.float64(248.0)}]",0.9035087719298246,0.30547774099467095,BC_VQC_FedAvg_NonIID_a0.5_PCA4_L2_Complex,vqc,,breast_cancer,4.0,minmax,,False,FedAvg,3,0.005,Adam,CrossEntropyLoss,5,3,0.5,,,,,,4.0,2.0,complex,lightning.qubit,,,,,
BC_VQC_FedProx_IID_PCA4_L2_Basic,"[{'round': 1, 'status': 'success', 'participating_clients': ['vqc_client_2', 'vqc_client_0', 'vqc_client_1'], 'client_samples': [459, 453, 453], 'total_samples': 1365, 'duration_seconds': 65.139564037323, 'evaluation_metrics': {'loss': 0.6948787204006261, 'accuracy': 0.6228070175438597}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 2, 'status': 'success', 'participating_clients': ['vqc_client_2', 'vqc_client_1', 'vqc_client_0'], 'client_samples': [459, 453, 453], 'total_samples': 1365, 'duration_seconds': 69.1699275970459, 'evaluation_metrics': {'loss': 0.6756272075469034, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 3, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_2', 'vqc_client_1'], 'client_samples': [453, 459, 453], 'total_samples': 1365, 'duration_seconds': 65.26208019256592, 'evaluation_metrics': {'loss': 0.662821398492445, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 4, 'status': 'success', 'participating_clients': ['vqc_client_2', 'vqc_client_0', 'vqc_client_1'], 'client_samples': [459, 453, 453], 'total_samples': 1365, 'duration_seconds': 69.28943395614624, 'evaluation_metrics': {'loss': 0.6472847440786529, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 5, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_2', 'vqc_client_1'], 'client_samples': [453, 459, 453], 'total_samples': 1365, 'duration_seconds': 65.3168089389801, 'evaluation_metrics': {'loss': 0.626147847426565, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}]",0.631578947368421,0.626147847426565,BC_VQC_FedProx_IID_PCA4_L2_Basic,vqc,,breast_cancer,4.0,minmax,,True,FedProx,3,0.005,Adam,CrossEntropyLoss,5,3,,0.01,,,,,4.0,2.0,basic,lightning.qubit,,,,,
BC_VQC_FedDive_IID_PCA4_L2_Basic,"[{'round': 1, 'status': 'success', 'participating_clients': ['vqc_client_2', 'vqc_client_0', 'vqc_client_1'], 'client_samples': [459, 453, 453], 'total_samples': 1365, 'duration_seconds': 67.59631562232971, 'evaluation_metrics': {'loss': 0.6926290141908746, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 2, 'status': 'success', 'participating_clients': ['vqc_client_2', 'vqc_client_1', 'vqc_client_0'], 'client_samples': [459, 453, 453], 'total_samples': 1365, 'duration_seconds': 66.42569971084595, 'evaluation_metrics': {'loss': 0.6742576747609857, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 3, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_2', 'vqc_client_1'], 'client_samples': [453, 459, 453], 'total_samples': 1365, 'duration_seconds': 66.98595094680786, 'evaluation_metrics': {'loss': 0.662881546898892, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 4, 'status': 'success', 'participating_clients': ['vqc_client_2', 'vqc_client_0', 'vqc_client_1'], 'client_samples': [459, 453, 453], 'total_samples': 1365, 'duration_seconds': 65.94463109970093, 'evaluation_metrics': {'loss': 0.6485390579491331, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}, {'round': 5, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_2', 'vqc_client_1'], 'client_samples': [453, 459, 453], 'total_samples': 1365, 'duration_seconds': 66.3628978729248, 'evaluation_metrics': {'loss': 0.6290562748908997, 'accuracy': 0.631578947368421}, 'comm_download_bytes_per_client': np.int64(136), 'comm_total_upload_bytes': np.int64(408), 'comm_avg_upload_bytes_per_client': np.float64(136.0)}]",0.631578947368421,0.6290562748908997,BC_VQC_FedDive_IID_PCA4_L2_Basic,vqc,,breast_cancer,4.0,minmax,,True,,3,0.005,Adam,CrossEntropyLoss,5,3,,,feddive,0.9,1.0,True,4.0,2.0,basic,lightning.qubit,,,,,
BC_VQC_FedDive_NonIID_a0.5_PCA4_L2_Complex,"[{'round': 1, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_2', 'vqc_client_1'], 'client_samples': [96, 15, 1254], 'total_samples': 1365, 'duration_seconds': 179.6931393146515, 'evaluation_metrics': {'loss': 0.8124056531671893, 'accuracy': 0.3684210526315789}, 'comm_download_bytes_per_client': np.int64(248), 'comm_total_upload_bytes': np.int64(744), 'comm_avg_upload_bytes_per_client': np.float64(248.0)}, {'round': 2, 'status': 'success', 'participating_clients': ['vqc_client_1', 'vqc_client_2', 'vqc_client_0'], 'client_samples': [1254, 15, 96], 'total_samples': 1365, 'duration_seconds': 177.338036775589, 'evaluation_metrics': {'loss': 0.8139861466591818, 'accuracy': 0.3684210526315789}, 'comm_download_bytes_per_client': np.int64(248), 'comm_total_upload_bytes': np.int64(744), 'comm_avg_upload_bytes_per_client': np.float64(248.0)}, {'round': 3, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_2', 'vqc_client_1'], 'client_samples': [96, 15, 1254], 'total_samples': 1365, 'duration_seconds': 171.33853149414062, 'evaluation_metrics': {'loss': 0.8145047959528471, 'accuracy': 0.3684210526315789}, 'comm_download_bytes_per_client': np.int64(248), 'comm_total_upload_bytes': np.int64(744), 'comm_avg_upload_bytes_per_client': np.float64(248.0)}, {'round': 4, 'status': 'success', 'participating_clients': ['vqc_client_1', 'vqc_client_2', 'vqc_client_0'], 'client_samples': [1254, 15, 96], 'total_samples': 1365, 'duration_seconds': 178.71580266952515, 'evaluation_metrics': {'loss': 0.8158923241130093, 'accuracy': 0.3684210526315789}, 'comm_download_bytes_per_client': np.int64(248), 'comm_total_upload_bytes': np.int64(744), 'comm_avg_upload_bytes_per_client': np.float64(248.0)}, {'round': 5, 'status': 'success', 'participating_clients': ['vqc_client_0', 'vqc_client_1', 'vqc_client_2'], 'client_samples': [96, 1254, 15], 'total_samples': 1365, 'duration_seconds': 171.7100055217743, 'evaluation_metrics': {'loss': 0.8200039288453889, 'accuracy': 0.3684210526315789}, 'comm_download_bytes_per_client': np.int64(248), 'comm_total_upload_bytes': np.int64(744), 'comm_avg_upload_bytes_per_client': np.float64(248.0)}]",0.3684210526315789,0.8200039288453889,BC_VQC_FedDive_NonIID_a0.5_PCA4_L2_Complex,vqc,,breast_cancer,4.0,minmax,,False,,3,0.005,Adam,CrossEntropyLoss,5,3,0.5,,feddive,0.9,1.0,True,4.0,2.0,complex,lightning.qubit,,,,,
